Table with row headers in column A and column headers in row 4.,,,,,,,,,,,,,,,,,,,,
,Asian alone or in combination,198,107,62,31.6,12.7,58.5,18.4,29,14.9,9.8,27.6,16.7,,,,,,,
NORTH DAKOTA,Total,567,547,363,64.1,2.4,66.4,2.4,279,49.2,2.5,51.0,2.5,,,,,,,
,Male,290,279,180,61.9,3.4,64.4,3.4,136,46.7,3.5,48.6,3.6,,,,,,,
,Female,276,268,183,66.3,3.4,68.5,3.4,143,51.8,3.6,53.5,3.6,,,,,,,
,White alone,516,508,345,66.8,2.5,67.9,2.5,266,51.5,2.6,52.3,2.6,,,,,,,
,.White non-Hispanic alone,501,497,342,68.2,2.5,68.7,2.5,264,52.7,2.7,53.2,2.7,,,,,,,
,Black alone,10,6,2,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
,Asian alone,10,3,1,(B),(B),(B),(B),1,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),19,14,5,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
,White alone or in combination,526,517,351,66.7,2.4,67.8,2.4,270,51.4,2.6,52.3,2.6,,,,,,,
,Black alone or in combination,11,6,3,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,14,7,4,(B),(B),(B),(B),4,(B),(B),(B),(B),,,,,,,
OHIO,Total,"8,772","8,509","5,657",64.5,1.5,66.5,1.5,"3,378",38.5,1.6,39.7,1.6,,,,,,,
,Male,"4,197","4,081","2,640",62.9,2.2,64.7,2.3,"1,616",38.5,2.3,39.6,2.3,,,,,,,
,Female,"4,575","4,428","3,018",66.0,2.1,68.2,2.1,"1,762",38.5,2.2,39.8,2.2,,,,,,,
,White alone,"7,404","7,289","4,869",65.8,1.7,66.8,1.7,"2,898",39.1,1.7,39.8,1.7,,,,,,,
,.White non-Hispanic alone,"7,235","7,155","4,787",66.2,1.7,66.9,1.7,"2,873",39.7,1.7,40.2,1.7,,,,,,,
,Black alone,"1,024",991,680,66.4,5.4,68.7,5.4,403,39.4,5.6,40.7,5.7,,,,,,,
,Asian alone,231,116,70,30.2,11.5,60.3,17.3,44,19.1,9.8,38.1,17.2,,,,,,,
,Hispanic (of any race),192,157,93,48.3,17.1,58.9,18.6,36,19.0,13.4,23.1,15.9,,,,,,,
,White alone or in combination,"7,501","7,386","4,892",65.2,1.7,66.2,1.7,"2,918",38.9,1.7,39.5,1.7,,,,,,,
,Black alone or in combination,"1,089","1,055",695,63.8,5.3,65.8,5.3,414,38.0,5.4,39.2,5.5,,,,,,,
,Asian alone or in combination,259,144,80,30.7,10.9,55.3,15.8,54,20.8,9.6,37.5,15.4,,,,,,,
OKLAHOMA,Total,"2,851","2,690","1,644",57.7,2.7,61.1,2.7,920,32.3,2.5,34.2,2.7,,,,,,,
,Male,"1,394","1,296",753,54.1,3.9,58.1,4.0,418,30.0,3.6,32.3,3.8,,,,,,,
,Female,"1,457","1,394",890,61.1,3.7,63.9,3.7,502,34.4,3.6,36.0,3.7,,,,,,,
,White alone,"2,262","2,149","1,343",59.4,3.0,62.5,3.0,751,33.2,2.9,35.0,3.0,,,,,,,
,.White non-Hispanic alone,"2,038","2,027","1,286",63.1,3.1,63.4,3.1,733,35.9,3.1,36.1,3.1,,,,,,,
,Black alone,192,190,96,49.7,12.7,50.3,12.8,56,29.2,11.5,29.6,11.6,,,,,,,
,Asian alone,65,24,17,(B),(B),(B),(B),8,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),267,156,84,31.3,12.9,53.8,18.2,28,10.5,8.6,18.0,14.1,,,,,,,
,White alone or in combination,"2,403","2,290","1,425",59.3,2.9,62.2,2.9,795,33.1,2.8,34.7,2.9,,,,,,,
,Black alone or in combination,203,200,100,49.4,12.3,50.0,12.4,59,29.1,11.2,29.5,11.3,,,,,,,
,Asian alone or in combination,71,30,21,(B),(B),(B),(B),10,(B),(B),(B),(B),,,,,,,
OREGON,Total,"3,078","2,870","2,008",65.2,2.5,70.0,2.5,"1,594",51.8,2.6,55.5,2.7,,,,,,,
,Male,"1,512","1,394",950,62.8,3.6,68.1,3.6,741,49.0,3.7,53.2,3.9,,,,,,,
,Female,"1,566","1,475","1,058",67.6,3.4,71.7,3.4,852,54.4,3.6,57.8,3.7,,,,,,,
,White alone,"2,768","2,608","1,861",67.2,2.6,71.4,2.6,"1,510",54.5,2.7,57.9,2.8,,,,,,,
,.White non-Hispanic alone,"2,475","2,448","1,770",71.5,2.6,72.3,2.6,"1,458",58.9,2.9,59.5,2.9,,,,,,,
,Black alone,56,50,29,(B),(B),(B),(B),14,(B),(B),(B),(B),,,,,,,
,Asian alone,123,99,47,38.7,16.1,48.0,18.4,24,19.7,13.1,24.4,15.8,,,,,,,
,Hispanic (of any race),322,184,106,33.1,11.9,57.7,16.5,62,19.2,10.0,33.6,15.8,,,,,,,
,White alone or in combination,"2,839","2,675","1,900",66.9,2.6,71.0,2.5,"1,537",54.1,2.7,57.5,2.8,,,,,,,
,Black alone or in combination,63,53,29,(B),(B),(B),(B),14,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,125,102,50,40.0,16.0,49.3,18.1,27,21.4,13.4,26.4,16.0,,,,,,,
PENNSYLVANIA,Total,"9,924","9,511","6,121",61.7,1.5,64.4,1.5,"3,803",38.3,1.5,40.0,1.5,,,,,,,
,Male,"4,779","4,571","2,845",59.5,2.1,62.2,2.2,"1,768",37.0,2.1,38.7,2.2,,,,,,,
,Female,"5,145","4,940","3,276",63.7,2.0,66.3,2.0,"2,035",39.6,2.1,41.2,2.1,,,,,,,
,White alone,"8,451","8,291","5,452",64.5,1.6,65.8,1.6,"3,375",39.9,1.6,40.7,1.6,,,,,,,
,.White non-Hispanic alone,"8,015","7,934","5,252",65.5,1.6,66.2,1.6,"3,272",40.8,1.7,41.2,1.7,,,,,,,
,Black alone,"1,001",920,492,49.2,5.8,53.5,6.0,341,34.1,5.5,37.1,5.8,,,,,,,
,Asian alone,295,165,93,31.7,10.4,56.6,14.8,46,15.6,8.1,27.9,13.4,,,,,,,
,Hispanic (of any race),689,540,260,37.7,8.8,48.1,10.2,119,17.3,6.8,22.1,8.5,,,,,,,
,White alone or in combination,"8,600","8,398","5,519",64.2,1.6,65.7,1.6,"3,416",39.7,1.6,40.7,1.6,,,,,,,
,Black alone or in combination,"1,076",984,513,47.6,5.6,52.1,5.8,341,31.7,5.2,34.7,5.6,,,,,,,
,Asian alone or in combination,322,192,121,37.4,10.3,62.8,13.3,73,22.7,8.9,38.1,13.4,,,,,,,
RHODE ISLAND,Total,819,765,486,59.4,2.6,63.6,2.6,331,40.4,2.5,43.3,2.7,,,,,,,
,Male,387,362,231,59.6,3.7,63.7,3.8,154,39.9,3.7,42.6,3.9,,,,,,,
,Female,432,403,255,59.2,3.5,63.4,3.6,177,41.0,3.5,43.9,3.7,,,,,,,
,White alone,717,680,451,62.9,2.7,66.3,2.7,311,43.4,2.8,45.7,2.8,,,,,,,
,.White non-Hispanic alone,659,647,434,65.8,2.7,67.0,2.7,302,45.8,2.9,46.6,2.9,,,,,,,
,Black alone,55,47,28,(B),(B),(B),(B),16,(B),(B),(B),(B),,,,,,,
,Asian alone,23,15,1,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),75,45,22,(B),(B),(B),(B),13,(B),(B),(B),(B),,,,,,,
,White alone or in combination,736,697,455,61.9,2.7,65.3,2.7,313,42.6,2.7,44.9,2.8,,,,,,,
,Black alone or in combination,69,61,32,(B),(B),(B),(B),18,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,24,16,2,(B),(B),(B),(B),1,(B),(B),(B),(B),,,,,,,
SOUTH CAROLINA,Total,"3,667","3,569","2,458",67.0,2.3,68.9,2.3,"1,514",41.3,2.4,42.4,2.5,,,,,,,
,Male,"1,730","1,678","1,132",65.5,3.4,67.5,3.4,699,40.4,3.5,41.6,3.6,,,,,,,
,Female,"1,937","1,891","1,325",68.4,3.1,70.1,3.1,815,42.0,3.3,43.1,3.4,,,,,,,
,White alone,"2,622","2,557","1,778",67.8,2.7,69.6,2.7,"1,075",41.0,2.9,42.0,2.9,,,,,,,
,.White non-Hispanic alone,"2,477","2,454","1,730",69.9,2.7,70.5,2.7,"1,061",42.8,3.0,43.2,3.0,,,,,,,
,Black alone,965,944,640,66.3,5.5,67.9,5.5,419,43.4,5.7,44.4,5.8,,,,,,,
,Asian alone,50,38,18,(B),(B),(B),(B),13,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),171,106,48,28.1,16.1,45.1,22.5,14,8.1,9.8,13.0,15.2,,,,,,,
,White alone or in combination,"2,632","2,568","1,787",67.9,2.7,69.6,2.7,"1,075",40.8,2.8,41.9,2.9,,,,,,,
,Black alone or in combination,978,956,652,66.7,5.4,68.3,5.4,426,43.6,5.7,44.5,5.8,,,,,,,
,Asian alone or in combination,53,42,21,(B),(B),(B),(B),16,(B),(B),(B),(B),,,,,,,
SOUTH DAKOTA,Total,625,618,401,64.2,2.6,64.9,2.6,273,43.7,2.7,44.1,2.7,,,,,,,
,Male,308,304,189,61.4,3.7,62.1,3.7,132,42.8,3.8,43.3,3.8,,,,,,,
,Female,317,314,212,67.0,3.6,67.7,3.6,141,44.5,3.8,45.0,3.8,,,,,,,
,White alone,562,558,369,65.7,2.7,66.1,2.7,259,46.2,2.8,46.5,2.8,,,,,,,
,.White non-Hispanic alone,551,549,367,66.6,2.7,66.8,2.7,259,46.9,2.9,47.0,2.9,,,,,,,
,Black alone,12,11,5,(B),(B),(B),(B),3,(B),(B),(B),(B),,,,,,,
,Asian alone,4,1,-,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),12,10,3,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
,White alone or in combination,565,562,372,65.9,2.7,66.3,2.7,262,46.3,2.8,46.6,2.8,,,,,,,
,Black alone or in combination,14,13,7,(B),(B),(B),(B),5,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,4,1,-,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
TENNESSEE,Total,"4,975","4,815","3,088",62.1,2.1,64.1,2.1,"1,763",35.4,2.0,36.6,2.1,,,,,,,
,Male,"2,366","2,275","1,376",58.2,3.0,60.5,3.1,793,33.5,2.9,34.8,3.0,,,,,,,
,Female,"2,609","2,539","1,712",65.6,2.8,67.4,2.8,970,37.2,2.8,38.2,2.9,,,,,,,
,White alone,"4,014","3,895","2,545",63.4,2.3,65.3,2.3,"1,481",36.9,2.3,38.0,2.3,,,,,,,
,.White non-Hispanic alone,"3,821","3,799","2,503",65.5,2.3,65.9,2.3,"1,467",38.4,2.4,38.6,2.4,,,,,,,
,Black alone,793,782,473,59.7,6.3,60.5,6.3,244,30.7,5.9,31.2,6.0,,,,,,,
,Asian alone,84,54,21,(B),(B),(B),(B),12,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),202,105,42,20.6,13.4,39.8,22.5,13,6.6,8.2,12.7,15.3,,,,,,,
,White alone or in combination,"4,079","3,960","2,588",63.5,2.3,65.4,2.3,"1,504",36.9,2.3,38.0,2.3,,,,,,,
,Black alone or in combination,803,792,480,59.8,6.3,60.6,6.3,247,30.7,5.9,31.2,6.0,,,,,,,
,Asian alone or in combination,91,61,24,(B),(B),(B),(B),12,(B),(B),(B),(B),,,,,,,
TEXAS,Total,"19,354","16,844","9,946",51.4,1.1,59.1,1.2,"5,836",30.2,1.0,34.6,1.1,,,,,,,
,Male,"9,412","8,076","4,606",48.9,1.6,57.0,1.7,"2,600",27.6,1.4,32.2,1.6,,,,,,,
,Female,"9,941","8,767","5,340",53.7,1.5,60.9,1.6,"3,236",32.5,1.4,36.9,1.6,,,,,,,
,White alone,"15,676","13,693","8,124",51.8,1.2,59.3,1.3,"4,820",30.7,1.1,35.2,1.2,,,,,,,
,.White non-Hispanic alone,"9,238","9,033","5,982",64.8,1.5,66.2,1.5,"3,776",40.9,1.6,41.8,1.6,,,,,,,
,Black alone,"2,327","2,198","1,334",57.3,3.8,60.7,3.8,777,33.4,3.6,35.3,3.7,,,,,,,
,Asian alone,853,565,259,30.3,6.0,45.8,8.0,102,11.9,4.3,18.0,6.2,,,,,,,
,Hispanic (of any race),"6,762","4,878","2,255",33.4,2.7,46.2,3.4,"1,092",16.2,2.1,22.4,2.8,,,,,,,
,White alone or in combination,"15,905","13,899","8,255",51.9,1.2,59.4,1.3,"4,906",30.8,1.1,35.3,1.2,,,,,,,
,Black alone or in combination,"2,402","2,264","1,380",57.4,3.7,60.9,3.8,809,33.7,3.5,35.7,3.7,,,,,,,
,Asian alone or in combination,877,589,271,30.9,6.0,46.0,7.9,105,12.0,4.2,17.9,6.1,,,,,,,
UTAH,Total,"2,026","1,924","1,101",54.3,2.2,57.2,2.3,703,34.7,2.1,36.5,2.2,,,,,,,
,Male,"1,011",955,539,53.3,3.1,56.4,3.2,339,33.5,3.0,35.5,3.1,,,,,,,
,Female,"1,016",969,562,55.4,3.1,58.0,3.2,364,35.8,3.0,37.6,3.1,,,,,,,
,White alone,"1,919","1,840","1,064",55.5,2.3,57.8,2.3,678,35.3,2.2,36.8,2.3,,,,,,,
,.White non-Hispanic alone,"1,704","1,684","1,009",59.2,2.4,59.9,2.4,650,38.2,2.4,38.6,2.4,,,,,,,
,Black alone,26,16,6,(B),(B),(B),(B),6,(B),(B),(B),(B),,,,,,,
,Asian alone,37,24,13,(B),(B),(B),(B),10,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),222,156,56,25.0,9.2,35.6,12.1,28,12.7,7.0,18.1,9.7,,,,,,,
,White alone or in combination,"1,939","1,860","1,070",55.2,2.3,57.5,2.3,681,35.1,2.2,36.6,2.2,,,,,,,
,Black alone or in combination,34,24,11,(B),(B),(B),(B),8,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,43,30,14,(B),(B),(B),(B),10,(B),(B),(B),(B),,,,,,,
VERMONT,Total,493,482,324,65.7,2.7,67.2,2.7,205,41.6,2.8,42.5,2.8,,,,,,,
,Male,240,233,152,63.3,3.9,65.0,3.9,93,38.7,4.0,39.7,4.0,,,,,,,
,Female,253,248,172,67.9,3.7,69.2,3.7,112,44.3,3.9,45.1,4.0,,,,,,,
,White alone,475,466,318,67.0,2.7,68.3,2.7,202,42.6,2.8,43.5,2.9,,,,,,,
,.White non-Hispanic alone,471,463,316,67.0,2.7,68.2,2.7,201,42.6,2.9,43.3,2.9,,,,,,,
,Black alone,4,4,2,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
,Asian alone,7,5,-,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),4,3,2,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
,White alone or in combination,480,471,321,66.8,2.7,68.1,2.7,204,42.4,2.8,43.2,2.9,,,,,,,
,Black alone or in combination,6,6,3,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,8,6,1,(B),(B),(B),(B),1,(B),(B),(B),(B),,,,,,,
VIRGINIA,Total,"6,221","5,888","3,924",63.1,1.9,66.6,1.9,"2,453",39.4,1.9,41.7,2.0,,,,,,,
,Male,"2,975","2,842","1,892",63.6,2.7,66.6,2.7,"1,200",40.3,2.8,42.2,2.8,,,,,,,
,Female,"3,246","3,046","2,032",62.6,2.6,66.7,2.6,"1,253",38.6,2.6,41.1,2.7,,,,,,,
,White alone,"4,480","4,287","2,939",65.6,2.2,68.6,2.2,"1,924",43.0,2.3,44.9,2.3,,,,,,,
,.White non-Hispanic alone,"4,145","4,094","2,850",68.8,2.2,69.6,2.2,"1,869",45.1,2.4,45.6,2.4,,,,,,,
,Black alone,"1,188","1,153",712,60.0,5.3,61.7,5.3,394,33.2,5.1,34.2,5.2,,,,,,,
,Asian alone,438,343,209,47.8,9.2,61.0,10.2,108,24.7,8.0,31.6,9.7,,,,,,,
,Hispanic (of any race),389,236,112,28.9,11.1,47.4,15.6,60,15.4,8.8,25.4,13.6,,,,,,,
,White alone or in combination,"4,540","4,337","2,973",65.5,2.2,68.5,2.2,"1,934",42.6,2.2,44.6,2.3,,,,,,,
,Black alone or in combination,"1,233","1,199",738,59.8,5.2,61.5,5.2,401,32.5,4.9,33.4,5.1,,,,,,,
,Asian alone or in combination,477,372,233,48.9,8.9,62.8,9.7,116,24.4,7.6,31.3,9.3,,,,,,,
WASHINGTON,Total,"5,333","4,776","3,281",61.5,2.0,68.7,2.0,"2,390",44.8,2.1,50.0,2.2,,,,,,,
,Male,"2,616","2,331","1,543",59.0,2.9,66.2,3.0,"1,125",43.0,2.9,48.3,3.1,,,,,,,
,Female,"2,717","2,445","1,739",64.0,2.8,71.1,2.8,"1,265",46.5,2.9,51.7,3.1,,,,,,,
,White alone,"4,238","3,939","2,819",66.5,2.2,71.6,2.2,"2,088",49.3,2.3,53.0,2.4,,,,,,,
,.White non-Hispanic alone,"3,716","3,644","2,683",72.2,2.2,73.6,2.2,"2,022",54.4,2.5,55.5,2.5,,,,,,,
,Black alone,195,159,74,37.9,12.8,46.6,14.6,53,27.4,11.7,33.7,13.8,,,,,,,
,Asian alone,451,268,161,35.6,8.7,59.9,11.5,110,24.4,7.8,41.2,11.5,,,,,,,
,Hispanic (of any race),635,378,169,26.7,8.4,44.8,12.2,95,15.0,6.8,25.1,10.6,,,,,,,
,White alone or in combination,"4,407","4,099","2,927",66.4,2.2,71.4,2.1,"2,143",48.6,2.3,52.3,2.4,,,,,,,
,Black alone or in combination,236,196,88,37.5,11.6,45.2,13.1,60,25.3,10.4,30.5,12.1,,,,,,,
,Asian alone or in combination,483,300,180,37.2,8.4,59.9,10.9,127,26.3,7.7,42.4,10.9,,,,,,,
WEST VIRGINIA,Total,"1,449","1,440",896,61.8,2.5,62.2,2.5,484,33.4,2.5,33.6,2.5,,,,,,,
,Male,705,703,431,61.1,3.6,61.3,3.6,236,33.5,3.5,33.6,3.5,,,,,,,
,Female,744,738,465,62.5,3.5,63.1,3.5,248,33.3,3.4,33.6,3.5,,,,,,,
,White alone,"1,376","1,373",863,62.7,2.6,62.8,2.6,473,34.4,2.5,34.5,2.5,,,,,,,
,.White non-Hispanic alone,"1,360","1,358",852,62.7,2.6,62.8,2.6,470,34.6,2.6,34.6,2.6,,,,,,,
,Black alone,41,41,17,(B),(B),(B),(B),5,(B),(B),(B),(B),,,,,,,
,Asian alone,10,5,4,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),18,16,11,(B),(B),(B),(B),3,(B),(B),(B),(B),,,,,,,
,White alone or in combination,"1,390","1,387",872,62.7,2.6,62.9,2.6,475,34.2,2.5,34.3,2.5,,,,,,,
,Black alone or in combination,49,48,22,(B),(B),(B),(B),6,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,10,6,4,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
WISCONSIN,Total,"4,356","4,232","3,005",69.0,2.1,71.0,2.1,"2,343",53.8,2.3,55.4,2.3,,,,,,,
,Male,"2,136","2,059","1,433",67.1,3.1,69.6,3.1,"1,140",53.4,3.3,55.4,3.3,,,,,,,
,Female,"2,220","2,173","1,572",70.8,2.9,72.4,2.9,"1,203",54.2,3.2,55.4,3.2,,,,,,,
,White alone,"3,933","3,826","2,791",71.0,2.2,72.9,2.2,"2,213",56.3,2.4,57.8,2.4,,,,,,,
,.White non-Hispanic alone,"3,715","3,689","2,727",73.4,2.2,73.9,2.2,"2,170",58.4,2.4,58.8,2.5,,,,,,,
,Black alone,230,227,129,56.1,12.0,56.8,12.0,93,40.4,11.8,40.9,11.9,,,,,,,
,Asian alone,106,91,30,28.8,16.8,33.6,19.0,9,8.7,10.5,10.2,12.1,,,,,,,
,Hispanic (of any race),248,168,77,31.0,14.0,45.8,18.3,53,21.4,12.4,31.7,17.1,,,,,,,
,White alone or in combination,"4,011","3,904","2,846",71.0,2.2,72.9,2.2,"2,241",55.9,2.4,57.4,2.4,,,,,,,
,Black alone or in combination,270,267,155,57.6,11.0,58.2,11.1,110,40.9,11.0,41.4,11.0,,,,,,,
,Asian alone or in combination,116,101,33,28.5,16.0,32.8,17.9,12,10.2,10.8,11.7,12.3,,,,,,,
WYOMING,Total,441,427,241,54.7,2.7,56.5,2.7,172,39.1,2.6,40.3,2.7,,,,,,,
,Male,223,215,117,52.6,3.8,54.6,3.8,85,38.0,3.6,39.5,3.7,,,,,,,
,Female,217,212,124,56.9,3.8,58.4,3.8,87,40.2,3.7,41.2,3.8,,,,,,,
,White alone,407,399,227,55.8,2.8,57.0,2.8,164,40.3,2.7,41.1,2.8,,,,,,,
,.White non-Hispanic alone,384,381,218,56.7,2.8,57.2,2.8,158,41.0,2.8,41.4,2.8,,,,,,,
,Black alone,11,9,5,(B),(B),(B),(B),3,(B),(B),(B),(B),,,,,,,
,Asian alone,3,1,-,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),29,20,9,(B),(B),(B),(B),6,(B),(B),(B),(B),,,,,,,
,White alone or in combination,414,406,230,55.5,2.7,56.6,2.8,166,40.1,2.7,41.0,2.7,,,,,,,
,Black alone or in combination,11,9,5,(B),(B),(B),(B),3,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,4,2,-,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
1 This figure added to or subtracted from the estimate provides the 90-percent confidence interval.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Note: Federal surveys now give respondents the option of reporting more than one race.  Therefore, two basic ways of defining a race group are possible.A group such as Asian may be defined as those who reported Asian and no other race (the race-alone or single-race concept) or as those who reportedAsian regardless of whether they also reported another race (the race-alone-or-in-combination concept). Unless labeled ""non-Hispanic,"" the race-alone or race-alone-or-in-combination categories can include individuals of Hispanic-origin.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
A dash '-' represents zero or rounds to zero.,,,,,,,,,,,,,,,,,,,,
"The symbol (B) means that the base is less than 75,000 and therefore too small to show the derived measure.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, November 2014",,,,,,,,,,,,,,,,,,,,
